Team,Player,4+ Rebs,6+ Rebs
Detroit Pistons,Tim Hardaway Jr.,4.54,0
Detroit Pistons,Tobias Harris,1.07,1.25
Detroit Pistons,Cade Cunningham,1.03,1.2
Detroit Pistons,Jaden Ivey,1.14,2.08
Detroit Pistons,Jalen Duren,1.05,1.13
Detroit Pistons,Malik Beasley,2.05,4.66
Detroit Pistons,Isaiah Stewart,1.17,1.41
Detroit Pistons,Simone Fontecchio,1.62,4.33
Detroit Pistons,Simone Fontecchio,1.62,4.33
Toronto Raptors,Scottie Barnes,1.07,1.23
Toronto Raptors,Ochai Agbaji,1.22,2.0
Toronto Raptors,Gradey Dick,2.37,7.67
Toronto Raptors,Jakob Poeltl,1.01,1.04
Toronto Raptors,Davion Mitchell,2.5,0
Toronto Raptors,Chris Boucher,1.32,2.75
Toronto Raptors,Chris Boucher,1.32,2.75
Toronto Raptors,Chris Boucher,1.32,2.75
Toronto Raptors,Bruno Fernando,1.78,2.64
