Team,Player,4+ Rebs,6+ Rebs
Cavaliers,Darius Garland,3.14,0
Cavaliers,Donovan Mitchell,1.47,2.39
Cavaliers,Dean Wade,1.3,3.4
Cavaliers,Evan Mobley,1.03,1.11
Cavaliers,Jarrett Allen,1.02,1.06
Cavaliers,Georges Niang,1.56,3.71
Cavaliers,Sam Merrill,5.5,0
Cavaliers,Isaac Okoro,2.51,7.73
Cavaliers,Ty Jerome,3.76,0
Hawks,Jalen Johnson,1.02,1.07
Hawks,Jalen Johnson,1.02,1.07
Hawks,Clint Capela,1.04,1.16
Hawks,Trae Young,1.62,3.61
Hawks,Dyson Daniels,1.3,2.0
Hawks,Onyeka Okongwu,1.14,1.47
Hawks,Garrison Mathews,0,0
Hawks,Vit Krejci,0,0
Hawks,David Roddy,1.87,3.73
