Team,Player,4+ Rebs,6+ Rebs
Phoenix Suns,Josh Okogie,1.47,2.09
Phoenix Suns,Devin Booker,1.6,3.71
Phoenix Suns,Tyus Jones,2.26,0
Phoenix Suns,Kevin Durant,1.04,1.29
Phoenix Suns,Jusuf Nurkic,1.07,1.16
Phoenix Suns,Royce O'Neale,1.05,1.34
Phoenix Suns,Damion Lee,5.21,0
Phoenix Suns,Monte Morris,0,0
Phoenix Suns,Mason Plumlee,1.33,1.75
Minnesota Timberwolves,Mike Conley,1.92,9.1
Minnesota Timberwolves,Anthony Edwards,1.15,1.88
Minnesota Timberwolves,Jaden McDaniels,1.64,4.42
Minnesota Timberwolves,Julius Randle,1.04,1.27
Minnesota Timberwolves,Rudy Gobert,1.01,1.05
Minnesota Timberwolves,Donte DiVincenzo,1.73,4.96
Minnesota Timberwolves,Naz Reid,1.3,1.86
Minnesota Timberwolves,Nickeil Alexander-Walker,2.4,0
Minnesota Timberwolves,Joe Ingles,0,0
