Team,Player,4+ Rebs,6+ Rebs
Heat,Terry Rozier,1.45,4.38
Heat,Tyler Herro,1.12,1.78
Heat,Jimmy Butler,1.3,1.92
Heat,Nikola Jovic,1.59,3.67
Heat,Bam Adebayo,1.02,1.08
Heat,Alec Burks,3.22,0
Heat,Jaime Jaquez Jr.,1.16,1.69
Heat,Duncan Robinson,3.04,0
Heat,Thomas Bryant,1.71,3.35
Raptors,Scottie Barnes,1.07,1.2
Raptors,Ochai Agbaji,1.34,2.42
Raptors,Gradey Dick,1.95,5.71
Raptors,Jakob Poeltl,1.01,1.03
Raptors,Ochai Agbaji,1.34,2.42
Raptors,RJ Barrett,1.05,1.35
Raptors,Chris Boucher,1.24,2.34
Raptors,Chris Boucher,1.24,2.34
Raptors,Chris Boucher,1.24,2.34
