Team,Player,4+ Rebs,6+ Rebs
Los Angeles Lakers,D'Angelo Russell,5.32,0
Los Angeles Lakers,Austin Reaves,1.5,2.63
Los Angeles Lakers,Rui Hachimura,1.07,1.43
Los Angeles Lakers,LeBron James,1.08,1.21
Los Angeles Lakers,Anthony Davis,1.01,1.05
Los Angeles Lakers,Max Christie,4.24,0
Los Angeles Lakers,Max Christie,4.24,0
Los Angeles Lakers,Jaxson Hayes,1.35,2.3
Los Angeles Lakers,Gabe Vincent,0,0
New Orleans Pelicans,CJ McCollum,1.66,4.61
New Orleans Pelicans,Herbert Jones,2.86,0
New Orleans Pelicans,Daniel Theis,1.65,4.14
New Orleans Pelicans,Brandon Ingram,1.02,1.29
New Orleans Pelicans,Zion Williamson,1.07,1.22
New Orleans Pelicans,Jordan Hawkins,1.25,2.57
New Orleans Pelicans,Jordan Hawkins,1.25,2.57
New Orleans Pelicans,Jose Alvarado,2.81,9.73
New Orleans Pelicans,Javonte Green,1.86,8.35
