Team,Player,4+ Rebs,6+ Rebs
Clippers,Derrick Jones Jr.,1.66,4.32
Clippers,James Harden,1.09,1.31
Clippers,Norman Powell,1.96,4.06
Clippers,Terance Mann,1.83,4.92
Clippers,Ivica Zubac,1.0,1.0
Clippers,Kris Dunn,1.49,3.38
Clippers,Amir Coffey,2.77,0
Clippers,Kevin Porter Jr.,1.71,3.65
Clippers,Nicolas Batum,2.48,0
Nuggets,Jamal Murray,1.34,2.64
Nuggets,Christian Braun,1.22,2.05
Nuggets,Michael Porter Jr.,1.04,1.2
Nuggets,Aaron Gordon,1.21,1.5
Nuggets,Nikola Jokic,1.01,1.02
Nuggets,Russell Westbrook,1.48,2.77
Nuggets,Julian Strawther,3.41,0
Nuggets,Peyton Watson,1.67,4.73
Nuggets,Dario Saric,1.78,3.14
