Team,Player,4+ Rebs,6+ Rebs
Nuggets,Jamal Murray,1.51,2.69
Nuggets,Christian Braun,1.14,1.8
Nuggets,Michael Porter Jr.,1.01,1.14
Nuggets,Aaron Gordon,1.21,1.5
Nuggets,Nikola Jokic,1.0,1.02
Nuggets,Russell Westbrook,1.38,3.25
Nuggets,Julian Strawther,3.78,0
Nuggets,Peyton Watson,1.8,5.51
Nuggets,Dario Saric,2.22,5.25
Grizzlies,Marcus Smart,2.39,8.32
Grizzlies,Desmond Bane,1.07,1.61
Grizzlies,Desmond Bane,1.07,1.61
Grizzlies,Jaren Jackson Jr.,1.01,1.36
Grizzlies,Desmond Bane,1.07,1.61
Grizzlies,Santi Aldama,1.13,1.35
Grizzlies,Jake LaRavia,1.26,1.91
Grizzlies,Scotty Pippen Jr.,1.53,3.11
Grizzlies,Brandon Clarke,1.79,6.52
