Team,Player,4+ Rebs,6+ Rebs
Pacers,Tyrese Haliburton,1.7,3.75
Pacers,Andrew Nembhard,6.3,0
Pacers,Aaron Nesmith,1.57,2.74
Pacers,Pascal Siakam,1.08,1.4
Pacers,Myles Turner,1.09,1.32
Pacers,Obi Toppin,2.0,6.5
Pacers,Bennedict Mathurin,1.18,1.48
Pacers,T.J. McConnell,2.78,0
Pacers,Ben Sheppard,3.08,0
Bucks,Damian Lillard,1.27,2.4
Bucks,Taurean Prince,1.28,1.93
Bucks,Gary Trent Jr.,4.17,0
Bucks,Giannis Antetokounmpo,1.0,1.01
Bucks,Brook Lopez,1.2,1.83
Bucks,Bobby Portis,1.12,1.32
Bucks,Pat Connaughton,2.12,6.66
Bucks,AJ Green,3.48,0
Bucks,Delon Wright,5.49,0
