Team,Player,4+ Rebs,6+ Rebs
Magic,Kentavious Caldwell-Pope,2.87,0
Magic,Jalen Suggs,1.26,2.36
Magic,Franz Wagner,1.18,1.7
Magic,Paolo Banchero,1.03,1.12
Magic,Wendell Carter Jr.,1.1,1.24
Magic,Anthony Black,2.27,0
Magic,Jett Howard,0,0
Magic,Moritz Wagner,1.32,2.8
Magic,Cole Anthony,3.36,0
Lakers,D'Angelo Russell,3.1,0
Lakers,Austin Reaves,1.66,3.11
Lakers,Rui Hachimura,1.07,1.43
Lakers,LeBron James,1.12,1.28
Lakers,Anthony Davis,1.01,1.03
Lakers,Max Christie,4.45,0
Lakers,Max Christie,4.45,0
Lakers,Jaxson Hayes,1.35,2.3
Lakers,Gabe Vincent,0,0
