Team,Player,4+ Rebs,6+ Rebs
Pelicans,CJ McCollum,1.54,7.94
Pelicans,Herbert Jones,2.86,0
Pelicans,Daniel Theis,1.75,4.42
Pelicans,Brandon Ingram,1.05,1.48
Pelicans,Zion Williamson,1.07,1.22
Pelicans,Dejounte Murray,1.03,1.28
Pelicans,Jordan Hawkins,1.51,3.68
Pelicans,Jose Alvarado,2.81,9.73
Pelicans,Javonte Green,1.7,5.93
Hawks,Jalen Johnson,1.03,1.1
Hawks,Jalen Johnson,1.03,1.1
Hawks,Clint Capela,1.04,1.14
Hawks,Trae Young,1.61,3.79
Hawks,Dyson Daniels,1.26,1.93
Hawks,Onyeka Okongwu,1.12,1.4
Hawks,Garrison Mathews,0,0
Hawks,De'Andre Hunter,1.3,2.89
Hawks,David Roddy,2.0,4.13
